OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
13010002,01/01/2013,00:45:00,NULL,NULL,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Cloudman Residence Hall,661,NULL,Techwood Drive NW,NULL,NULL,1
13010003,01/01/2013,01:37:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Georgia Tech Hotel & Conference Center,800,NULL,Spring Street NW,NULL,NULL,1
13010004,01/01/2013,01:26:00,NULL,NULL,1313,Simple Assault/Battery,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Georgia Tech Hotel & Conference Center,800,NULL,Spring Street NW,NULL,NULL,1
13010006,01/01/2013,03:28:00,NULL,NULL,1313,Simple Assault/Battery,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Georgia Tech Hotel & Conference Center,800,NULL,Spring Street NW,NULL,NULL,1
13010007,01/01/2013,07:23:00,01/01/2013,07:43:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z3,"Ferst Drive, NW @ Sixth Street, NW",NULL,NULL,NULL,NULL,NULL,1
13010008,01/01/2013,19:30:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,NULL,NULL,1
13010012,01/02/2013,11:52:00,01/02/2013,12:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Institute of Paper Science & Technology,500,NULL,"Tenth Street, NW",33.7815303999301,-84.403298189004,1
13010013,01/02/2013,16:33:00,01/02/2013,17:18:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Molecular Science & Engineering Building   167   Z1,901,NULL,Atlantic Drive NW,33.7793851430662,-84.3977675378428,1
13010014,01/02/2013,14:00:00,01/02/2013,15:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,NULL,McCamish,965,NULL,"Fowler Street, NW",33.7794998804019,-84.4023369408856,1
13010015,01/03/2013,13:30:00,01/03/2013,14:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,NULL,2823,NULL,Sylvan Road,33.7794998804019,-84.4023369408856,1
13010016,01/03/2013,21:13:00,01/03/2013,22:00:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z3,"Tech Parkway, NW @ State Street, NW",NULL,NULL,NULL,NULL,NULL,1
13010017,01/04/2013,00:00:00,01/04/2013,00:48:00,3562,Marijuana – Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Crecine Residence Hall,900,NULL,Hemphill Avenue NW,33.7797961390763,-84.4026102435644,1
13010018,01/04/2013,11:17:00,01/04/2013,11:17:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,PUB,Z4,NULL,950,NULL,"Marietta Street, NW",NULL,NULL,1
13010019,01/04/2013,11:10:00,NULL,NULL,2308,Larceny – From Building,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,NULL,Fifth Street NW,33.7768439093347,-84.388907415106,1
13010021,01/04/2013,16:45:00,01/04/2013,17:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,North Campus Parking Deck,352,NULL,Peachtree Place,33.7794998804019,-84.4023369408856,1
13010022,01/04/2013,16:32:00,01/04/2013,17:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,College of Management 172 Z2,800,NULL,West Peachtree Street NW,33.7765931857143,-84.3873057983307,1
