IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,Offense Description,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource,Column19
01/01/2010,1:55:00,1/1/2010,2:58:00,Miscellaneous Offenses,NULL,ONCAMRES,Z1,Center Street Apartments North   132  Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/01/2010,1:36:00,NULL,NULL,Miscellaneous Offenses,NULL,NONCAM,Z4,NULL,NULL,NULL,NULL,1,
01/01/2010,2:00:00,1/1/2010,4:00:00,Larceny – From Building,NULL,NONCAM,Z2,Sigma Nu Fraternity   325   Z2,"Fowler Street, NW",NULL,NULL,1,
01/02/2010,6:15:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
01/03/2010,1:29:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,PUB,Z4,"Marietta Street, NW b/w Northside Drive, NW & Means Street, NW",NULL,NULL,NULL,1,
01/01/2010,2:00:00,1/1/2010,2:30:00,Larceny – From Building,NULL,NONCAM,Z2,Lambda Chi Alpha Fraternity   312   Z2,"Techwood Drive, NW",NULL,NULL,1,
01/03/2010,11:47:00,NULL,NULL,Larceny – Articles from Vehicle,NULL,ONCAM,Z2,Weber Building  (SST 1)   84   Z2,"Ferst Drive, NW",NULL,NULL,1,
01/05/2010,3:16:00,1/5/2010,4:02:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Undergraduate Living Center,"Turner Place, NW",NULL,NULL,1,
01/05/2010,8:30:00,1/5/2010,8:43:00,Damage to Property – Private,NULL,ONCAM,Z2,Wardlaw Center Parking Deck   47   Z2,"North Avenue, NW",NULL,NULL,1,
01/05/2010,16:12:00,1/5/2010,16:25:00,Miscellaneous Offenses,NULL,ONCAM,Z3,Manufacturing Related Disciplines Complex,"Ferst Drive, NW",NULL,NULL,1,
01/05/2010,16:34:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/05/2010,8:00:00,1/5/2010,10:00:00,Larceny – Bicycle,NULL,ONCAM,Z1,Love Building,"Ferst Drive, NW",NULL,NULL,1,
01/05/2010,22:00:00,1/6/2010,8:11:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z1,Familly Housing Apartments,"Tenth Street, NW",NULL,NULL,1,
01/05/2010,19:00:00,1/6/2010,8:57:00,Criminal Trespass,NULL,ONCAM,Z1,Family Apartments Parking Deck,Tenth Street,NULL,NULL,1,
01/06/2010,21:23:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z2,North Avenue Apartments North,"North Avenue, NW",NULL,NULL,1,
01/03/2010,18:00:00,1/6/2010,21:47:00,Theft of Automobile,NULL,ONCAM,Z1,Family Apartments Parking Deck (Purple Level),"Tenth Street, NW",NULL,NULL,1,
01/06/2010,23:02:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z1,Family Apartments Parking Deck,"Tenth Street, NW",NULL,NULL,1,
01/07/2010,0:57:00,NULL,NULL,Marijuana – Possession of,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments North Building,"North Avenue, NW",NULL,NULL,1,
01/07/2010,1:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z1,Graduate Living Center   52  Z1,"Tenth Street, NW",NULL,NULL,1,
01/07/2010,3:08:00,1/7/2010,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Tenth Street, NW",NULL,NULL,NULL,1,
01/07/2010,20:03:00,1/7/2010,22:03:00,Marijuana – Possession of,Unfounded,ONCAMRES,Z4,Eighth Street Apartments,"Eighth Street, NW",NULL,NULL,1,
01/08/2010,3:00:00,1/8/2010,3:59:00,Miscellaneous Offenses,NULL,ONCAM,NULL,Nano Technology Z1,"Ferst Drive, NW",NULL,NULL,1,
01/01/2010,12:00:00,1/8/2010,15:20:00,Burglary – No Forced Entry – Residence,Unfounded,ONCAMRES,Z2,North Avenue Apartments North Building,"North Avenue, NW",NULL,NULL,1,
01/08/2010,17:30:00,1/8/2010,18:30:00,Larceny – From Building,Unfounded,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
01/07/2010,22:30:00,1/8/2010,22:00:00,Larceny – Parts from Vehicle,NULL,PUB,Z2,NULL,NULL,NULL,NULL,1,
01/08/2010,22:30:00,1/8/2010,23:02:00,Miscellaneous Offenses,Unfounded,ONCAMRES,Z4,Eighth Street Apartments,"Eighth Street, NW",NULL,NULL,1,
01/09/2010,3:40:00,1/9/2010,3:40:00,Miscellaneous Offenses,NULL,PUB,Z2,"Spring Street, NW @ Abercrombie Place, NW",NULL,NULL,NULL,1,
01/08/2010,21:00:00,1/8/2010,22:00:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
01/09/2010,19:47:00,1/9/2010,19:47:00,Miscellaneous Offenses,Prosecution Declined,ONCAMRES,Z2,Hanson Residence Hall   93   Z2,"Bobby Dodd Way, NW",NULL,NULL,1,
01/09/2010,19:53:00,1/9/2010,20:50:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,North Avenue Apartments North,"North Avenue, NW",NULL,NULL,1,
01/10/2010,22:20:00,1/10/2010,22:35:00,Miscellaneous Offenses,Unfounded,ONCAMRES,Z2,North Avenue Apartments North,"North Avenue, NW",NULL,NULL,1,
